,Page,Question,question_type,A,B,C,D,Answer,Subject,Year,School,Exam,Number,Image,Image File,Answer
0,1," John in addition to the two monitors, _________ the books from the staff roorn io theclassroom every morning.",MCQ, carry, carries, carrying, have carried,-,english,2019,ntu,sa2,1,No,-,-
1,1," When, the results of the competition were announced, neither the winner nor his parents
AALRINY
_________ atthe hall.a",MCQ, is, are, was, were,-,english,2019,ntu,sa2,2,No,-,-
2,1, [ne nandicratt did not iurn out well as the girl did not put in ____________ effort to glue theparts together.,MCQ, many, much, little, few,pop,english,2019,ntu,sa2,3,No,-,pop
3,1, My grandmother managed to prepare a nutritions meal for us ___________having only a fewin the refrigeraior.,MCQ, despite, besides, because of, resulting from,-,english,2019,ntu,sa2,4,No,-,-
4,1,"o With trepidation, Sarah watched the running boy ___________ the pail, spilling water all overthe floor.",MCQ," knock

"," knocks

"," Knocked

", was knocking,-,english,2019,ntu,sa2,5,No,-,-
5,2," ""You've put the carton of milk in ihe refrigerator, __________?* Mrs Lim asked her daughter.",MCQ, isn't it, didn'twe, hadn't you, haven't you,-,english,2019,ntu,sa2,6,No,-,-
6,2," ""| have never __________ such an interesting flower before,” exclaimed the old lady as she
fooked closely at it.",MCQ, see, saw, seen, been seeing,-,english,2019,ntu,sa2,7,No,-,-
7,2," If She __________ tore waier throughout the day, she would not have been dehydrated.",MCQ, drunk, drinks, has drunk, had drunk,-,english,2019,ntu,sa2,8,No,-,-
8,2," All of the luagage __________io the collection point except the one that belonged to the elderly
bespectacled man.",MCQ, is delivering, was delivered," has been delivering
", nave been delivered,-,english,2019,ntu,sa2,9,No,-,-
9,2,"VU In order io be heaithier, Mrs Chandra eliminated salty food and sugary drinks _________. he
diet.(off",MCQ, oui, from, away,-,-,english,2019,ntu,sa2,10,No,-,-
