,Level,Page,Question,question_type,A,B,C,D,Answer,Subject,Year,School,Exam,Number,Image,Image File,Answer
0,undefined,1," John in addition to the two monitors, _________ the books from the staff roorn io theclassroom every morning.",MCQ, carry, carries, carrying, have carried,-,undefined,undefined,undefined,undefined,"(1,)",False,-,-
1,undefined,1," When, the results of the competition were announced, neither the winner nor his parents
AALRINY
_________ atthe hall.a",MCQ, is, are, was, were,-,undefined,undefined,undefined,undefined,"(2,)",False,-,-
2,undefined,1, [ne nandicratt did not iurn out well as the girl did not put in ____________ effort to glue theparts together.,MCQ, many, much, little, few,pop,undefined,undefined,undefined,undefined,"(3,)",False,-,pop
3,undefined,1, My grandmother managed to prepare a nutritions meal for us ___________having only a fewin the refrigeraior.,MCQ, despite, besides, because of, resulting from,-,undefined,undefined,undefined,undefined,"(4,)",False,-,-
4,undefined,1,"o With trepidation, Sarah watched the running boy ___________ the pail, spilling water all overthe floor.",MCQ," knock

"," knocks

"," Knocked

", was knocking,-,undefined,undefined,undefined,undefined,"(5,)",False,-,-
5,undefined,2," ""You've put the carton of milk in ihe refrigerator, __________?* Mrs Lim asked her daughter.",MCQ, isn't it, didn'twe, hadn't you, haven't you,-,undefined,undefined,undefined,undefined,"(6,)",False,-,-
6,undefined,2," ""| have never __________ such an interesting flower before,” exclaimed the old lady as she
fooked closely at it.",MCQ, see, saw, seen, been seeing,-,undefined,undefined,undefined,undefined,"(7,)",False,-,-
7,undefined,2," If She __________ tore waier throughout the day, she would not have been dehydrated.",MCQ, drunk, drinks, has drunk, had drunk,-,undefined,undefined,undefined,undefined,"(8,)",False,-,-
8,undefined,2," All of the luagage __________io the collection point except the one that belonged to the elderly
bespectacled man.",MCQ, is delivering, was delivered," has been delivering
", nave been delivered,-,undefined,undefined,undefined,undefined,"(9,)",False,-,-
9,undefined,2,"VU In order io be heaithier, Mrs Chandra eliminated salty food and sugary drinks _________. he
diet.(off",MCQ, oui, from, away,-,-,undefined,undefined,undefined,undefined,"(10,)",False,-,-
